Date,Adj Close,Close,High,Low,Open,Volume
2013-01-02,147.14491271972656,160.72999572753906,161.32000732421875,160.47999572753906,161.32000732421875,16400
2013-01-03,145.771728515625,159.22999572753906,159.8800048828125,159.16000366210938,159.86000061035156,19100
2013-01-04,145.5611572265625,159.0,159.00999450683594,158.49000549316406,158.5399932861328,8300
2013-01-07,145.90904235839844,159.3800048828125,159.38999938964844,158.97000122070312,159.0,224200
2013-01-08,145.38717651367188,158.80999755859375,158.8699951171875,158.5500030517578,158.82000732421875,17100
2013-01-09,145.1033935546875,158.5,158.50999450683594,158.2100067138672,158.2100067138672,236500
2013-01-10,146.20196533203125,159.6999969482422,159.8800048828125,159.10000610351562,159.1699981689453,51200
2013-01-11,145.93655395507812,159.41000366210938,159.7899932861328,159.1199951171875,159.7899932861328,36500
2013-01-14,145.6160888671875,159.05999755859375,159.08999633789062,158.58999633789062,158.6999969482422,32100
2013-01-15,145.47874450683594,158.91000366210938,159.19000244140625,158.6999969482422,158.77000427246094,29000
2013-01-16,144.8379364013672,158.2100067138672,158.22999572753906,158.0399932861328,158.17999267578125,13800
2013-01-17,144.8379364013672,158.2100067138672,158.2899932861328,157.86000061035156,157.92999267578125,29100
2013-01-18,143.71182250976562,156.97999572753906,157.33999633789062,156.74000549316406,157.33999633789062,59600
2013-01-22,143.3365478515625,156.57000732421875,157.00999450683594,156.4499969482422,156.82000732421875,143200
2013-01-23,143.46469116210938,156.7100067138672,157.1199951171875,156.55999755859375,156.9600067138672,19400
2013-01-24,142.92457580566406,156.1199951171875,156.13999938964844,155.8000030517578,155.80999755859375,26200
2013-01-25,143.1167755126953,156.3300018310547,156.49000549316406,156.19000244140625,156.30999755859375,17600
2013-01-28,142.03652954101562,155.14999389648438,155.52000427246094,155.0,155.52000427246094,29700
2013-01-29,142.6224365234375,155.7899932861328,155.89999389648438,155.57000732421875,155.57000732421875,10900
2013-01-30,143.052734375,156.25999450683594,156.36000061035156,155.9499969482422,155.9499969482422,17100
2013-01-31,143.53793334960938,156.7899932861328,156.8800048828125,156.27000427246094,156.3000030517578,39200
2013-02-01,142.1280975341797,155.25,156.25999450683594,155.2100067138672,156.25999450683594,49200
2013-02-04,142.64990234375,155.82000732421875,155.86000061035156,155.5,155.5500030517578,9000
