Date,BWX,CORN,CPER,DBA,EMB,FXA,FXB,FXC,FXE,FXF,FXY,GLD,HYG,IEF,LQD,SHY,SLV,TLT,UNG,USO,WEAT
2013-01-02,26.0030574798584,43.65999984741211,26.010000228881836,24.025630950927734,66.08121490478516,92.66691589355467,146.8900604248047,94.19248962402344,124.5992431640625,107.04403686523438,112.37999725341795,163.1699981689453,46.40946578979492,80.66083526611328,76.63094329833984,68.75919342041016,29.920000076293945,83.25953674316406,291.8399963378906,270.55999755859375,103.1500015258789
2013-01-03,25.763635635375977,43.439998626708984,25.93000030517578,23.948266983032227,66.03829193115234,92.4021453857422,145.51919555664062,93.93121337890624,123.37104034423828,106.09453582763672,112.37000274658205,161.1999969482422,46.266624450683594,80.24620819091797,76.21387481689453,68.75919342041016,29.18000030517578,82.13142395019531,287.0400085449219,269.9200134277344,103.25
2013-01-04,25.686681747436523,42.77000045776367,25.760000228881836,23.759157180786133,65.83435821533203,92.55217742919922,145.3090362548828,94.02449035644533,123.59005737304688,106.38438415527344,111.25,160.44000244140625,46.29619216918945,80.28386688232422,76.17594146728516,68.76734924316406,29.239999771118164,82.45175170898438,294.7200012207031,271.0400085449219,102.0999984741211
2013-01-07,25.759368896484375,42.91999816894531,25.600000381469727,23.9224796295166,65.8718490600586,92.7463150024414,145.65635681152344,94.15520477294922,123.91372680664062,106.64423370361328,111.75,159.42999267578125,46.33559036254883,80.3291244506836,76.30233764648438,68.76734924316406,29.18000030517578,82.48657989501953,294.3999938964844,271.3599853515625,102.75
2013-01-08,25.793567657470703,43.20000076293945,25.600000381469727,23.759157180786133,65.57138061523438,92.69338989257812,145.13540649414062,94.06188201904295,123.62813568115234,106.34440612792967,112.6500015258789,160.55999755859375,46.30110168457031,80.52518463134766,76.37181854248047,68.77546691894531,29.3799991607666,83.02979278564453,290.7200012207031,271.67999267578125,102.6500015258789
2013-01-09,25.759368896484375,43.560001373291016,25.600000381469727,23.78494453430176,65.51770782470703,92.84342956542967,144.85211181640625,93.98716735839844,123.42818450927734,106.2144775390625,111.72000122070312,160.49000549316406,46.38975143432617,80.57034301757812,76.34656524658203,68.79991149902344,29.350000381469727,82.953125,281.1199951171875,271.0400085449219,102.1500015258789
2013-01-10,25.87051773071289,43.72999954223633,25.600000381469727,23.810733795166016,65.5015869140625,93.53179931640624,145.94873046875,94.26722717285156,125.1990966796875,107.45381927490234,111.08000183105467,161.97999572753906,46.468528747558594,80.33668518066406,76.38448333740234,68.79178619384766,29.780000686645508,82.72330474853516,287.20001220703125,273.3599853515625,101.6500015258789
2013-01-11,25.89189910888672,43.9900016784668,25.5,23.87090492248535,65.1741714477539,93.01993560791016,145.68374633789062,94.2858657836914,126.01785278320312,107.57376098632812,109.91999816894533,161.05999755859375,46.55228042602539,80.59300994873047,76.52350616455078,68.78365325927734,29.479999542236328,83.4615249633789,299.5199890136719,272.4800109863281,102.9499969482422
2013-01-14,25.930383682250977,44.779998779296875,25.5,23.956865310668945,65.27079772949219,93.34642791748048,145.36386108398438,94.34183502197266,126.4558563232422,106.70421600341795,109.58000183105467,161.5399932861328,46.488224029541016,80.5628890991211,76.37181854248047,68.78365325927734,30.040000915527344,83.23165893554688,303.67999267578125,274.239990234375,104.1999969482422
2013-01-15,25.91327857971191,45.20000076293945,25.5,23.948266983032227,65.5284194946289,93.29352569580078,145.22679138183594,94.29522705078124,125.79885864257812,105.53482055664062,110.37000274658205,162.55999755859375,46.49814224243164,80.75884246826172,76.30864715576172,68.79178619384766,30.36000061035156,83.61470794677734,309.6000061035156,271.9200134277344,106.4000015258789
2013-01-16,25.87479782104492,45.220001220703125,25.200000762939453,23.974056243896484,65.4693832397461,93.39058685302734,144.5871124267578,94.11786651611328,125.5037612915039,105.52482604980467,110.93000030517578,162.64999389648438,46.419307708740234,80.86436462402344,76.30864715576172,68.79178619384766,30.450000762939453,83.78878784179688,309.1199951171875,274.239990234375,107.4499969482422
2013-01-17,25.827768325805664,44.77000045776367,25.530000686645508,23.9224796295166,65.36741638183594,93.1258316040039,144.5871124267578,94.1645278930664,126.35108184814452,105.36491394042967,109.12999725341795,163.35000610351562,46.586788177490234,80.4949951171875,76.17594146728516,68.78365325927734,30.670000076293945,82.953125,313.9200134277344,277.3599853515625,106.5999984741211
2013-01-18,25.767906188964844,45.0099983215332,25.65999984741211,23.956865310668945,65.58206176757812,92.83458709716795,143.46292114257812,93.58585357666016,125.8560028076172,105.1850128173828,108.87999725341795,163.08999633789062,46.65079498291016,80.72113037109375,76.25177764892578,68.78365325927734,30.809999465942383,83.59378051757812,321.6000061035156,278.1600036621094,107.25
2013-01-22,25.827768325805664,45.040000915527344,25.84000015258789,23.767749786376953,65.45330047607422,93.34642791748048,143.08827209472656,93.49251556396484,125.81790924072266,105.77471160888672,110.48999786376952,163.6699981689453,46.68033981323242,80.78897857666016,76.25177764892578,68.79991149902344,31.1200008392334,83.75399017333984,319.5199890136719,280.0799865722656,105.9000015258789
2013-01-23,25.86623764038086,44.72999954223633,25.760000228881836,23.8193302154541,65.5015869140625,93.2317123413086,143.21621704101562,92.90447998046876,125.82747650146484,105.84467315673828,110.52999877929688,163.2100067138672,46.626182556152344,80.82667541503906,76.34656524658203,68.79991149902344,31.190000534057617,83.62860870361328,320.0,276.8800048828125,105.4499969482422
2013-01-24,25.750810623168945,44.68000030517578,25.6200008392334,23.741968154907227,65.51770782470703,92.49042510986328,142.67706298828125,92.54985809326172,126.34156799316406,105.87464904785156,108.66000366210938,161.4199981689453,46.72962951660156,80.69100952148438,76.23914337158203,68.79991149902344,30.649999618530273,83.33610534667969,312.4800109863281,278.0799865722656,104.0500030517578
2013-01-25,25.780744552612305,44.41999816894531,25.459999084472656,23.707582473754883,65.23860168457031,92.16382598876952,142.8689422607422,92.21385192871094,127.1412582397461,106.0645523071289,107.81999969482422,160.64999389648438,46.714813232421875,80.15576171875,75.89159393310547,68.76734924316406,30.209999084472656,82.19403839111328,312.32000732421875,278.239990234375,105.0999984741211
2013-01-28,25.665311813354492,44.970001220703125,25.579999923706055,23.888097763061523,65.029296875,92.04914855957033,141.7905731201172,92.20450592041016,127.10323333740234,106.09453582763672,107.97000122070312,160.2899932861328,46.69021987915039,79.98992156982422,75.82842254638672,68.742919921875,29.850000381469727,81.89462280273438,296.79998779296875,279.5199890136719,105.25
2013-01-29,25.73798179626465,44.810001373291016,25.75,23.85371208190918,64.88439178466797,92.51688385009766,142.3754425048828,92.59647369384766,127.44599151611328,106.62425231933594,108.0500030517578,160.99000549316406,46.61138916015625,79.86931610107422,75.65777587890625,68.75104522705078,30.31999969482422,81.4420166015625,293.760009765625,282.32000732421875,105.3499984741211
2013-01-30,25.767906188964844,45.43000030517578,26.15999984741211,23.974056243896484,64.32624816894531,92.04033660888672,142.8050079345703,92.67119598388672,128.14100646972656,107.90359497070312,107.5999984741211,162.19000244140625,46.27644729614258,79.91455841064453,75.40504455566406,68.77546691894531,30.920000076293945,81.30267333984375,300.32000732421875,283.9200134277344,107.4499969482422
2013-01-31,25.84058952331543,45.5,26.15999984741211,23.99124526977539,64.02033996582031,92.19914245605467,143.28929138183594,93.0538558959961,128.26475524902344,108.00354766845705,107.18000030517578,161.1999969482422,46.13365173339844,79.98238372802734,75.46186828613281,68.78365325927734,30.440000534057617,81.69963836669922,300.1600036621094,282.239990234375,105.9499969482422
