Date,Adj Close,Close,High,Low,Open,Volume
2013-01-02,73.63935852050781,102.80000305175781,102.80000305175781,102.80000305175781,102.80000305175781,4744
2013-01-03,73.6751708984375,102.8499984741211,102.8499984741211,102.41000366210938,102.41000366210938,4198
2013-01-04,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,70
2013-01-07,73.4244613647461,102.5,102.5,102.44999694824219,102.44999694824219,5120
2013-01-08,73.57487487792969,102.70999908447266,102.70999908447266,102.70999908447266,102.70999908447266,195
2013-01-09,73.60353088378906,102.75,102.80000305175781,102.75,102.80000305175781,5000
2013-01-10,73.60353088378906,102.75,102.75,102.75,102.75,2000
2013-01-11,73.49608612060547,102.5999984741211,102.5999984741211,102.47000122070312,102.47000122070312,4258
2013-01-14,73.49608612060547,102.5999984741211,102.5999984741211,102.5999984741211,102.5999984741211,0
2013-01-15,73.49608612060547,102.5999984741211,102.5999984741211,102.5999984741211,102.5999984741211,0
2013-01-16,73.49608612060547,102.5999984741211,102.5999984741211,102.5999984741211,102.5999984741211,0
2013-01-17,73.88290405273438,103.13999938964844,103.13999938964844,103.13999938964844,103.13999938964844,166
2013-01-18,73.86857604980469,103.12000274658203,103.12000274658203,103.12000274658203,103.12000274658203,4000
2013-01-21,73.86857604980469,103.12000274658203,103.12000274658203,103.12000274658203,103.12000274658203,0
2013-01-22,73.86857604980469,103.12000274658203,103.12000274658203,103.12000274658203,103.12000274658203,0
2013-01-23,73.86857604980469,103.12000274658203,103.12000274658203,103.12000274658203,103.12000274658203,0
2013-01-24,74.1407699584961,103.5,103.5,103.5,103.5,5000
2013-01-25,74.1407699584961,103.5,103.5,103.5,103.5,0
2013-01-29,73.517578125,102.62999725341797,102.88999938964844,102.62999725341797,102.88999938964844,16284
2013-01-30,73.517578125,102.62999725341797,102.62999725341797,102.62999725341797,102.62999725341797,2
2013-01-31,73.517578125,102.62999725341797,102.62999725341797,102.62999725341797,102.62999725341797,0
2013-02-01,73.517578125,102.62999725341797,102.62999725341797,102.62999725341797,102.62999725341797,0
2013-02-04,73.517578125,102.62999725341797,102.62999725341797,102.62999725341797,102.62999725341797,0
2013-02-05,73.517578125,102.62999725341797,102.62999725341797,102.62999725341797,102.62999725341797,0
2013-02-06,73.49608612060547,102.5999984741211,102.5999984741211,102.5999984741211,102.5999984741211,240
2013-02-07,73.63935852050781,102.80000305175781,102.80000305175781,102.63999938964844,102.80000305175781,11551
2013-02-08,73.63935852050781,102.80000305175781,102.80000305175781,102.80000305175781,102.80000305175781,0
2013-02-11,73.72533416748047,102.91999816894531,102.91999816894531,102.80000305175781,102.80000305175781,262
2013-02-12,73.76828002929688,102.9800033569336,102.9800033569336,102.9800033569336,102.9800033569336,84
2013-02-13,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,10
2013-02-14,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,0
2013-02-15,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,0
2013-02-18,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,0
2013-02-19,73.46027374267578,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,0
2013-02-20,73.31698608398438,102.3499984741211,102.3499984741211,102.3499984741211,102.3499984741211,5000
2013-02-21,73.56055450439453,102.69000244140625,102.69000244140625,102.6500015258789,102.6500015258789,1996
2013-02-22,73.56055450439453,102.69000244140625,102.69000244140625,102.69000244140625,102.69000244140625,0
2013-02-25,73.63935852050781,102.80000305175781,102.80000305175781,102.80000305175781,102.80000305175781,1460
2013-02-26,73.90438079833984,103.16999816894531,103.16999816894531,103.16999816894531,103.16999816894531,4000
2013-02-27,73.94735717773438,103.2300033569336,103.2300033569336,103.2300033569336,103.2300033569336,8
2013-02-28,74.08351135253906,103.41999816894531,103.41999816894531,103.41999816894531,103.41999816894531,6
2013-03-01,74.0333480834961,103.3499984741211,103.41999816894531,103.3499984741211,103.41999816894531,300
2013-03-04,74.2840347290039,103.69999694824219,103.69999694824219,103.69999694824219,103.69999694824219,1
2013-03-05,74.1407699584961,103.5,103.5,103.5,103.5,200
2013-03-06,73.96170806884766,103.25,103.25,103.25,103.25,200
2013-03-07,73.79691314697266,103.0199966430664,103.0199966430664,103.0199966430664,103.0199966430664,387
2013-03-08,73.62503814697266,102.77999877929688,102.77999877929688,102.77999877929688,102.77999877929688,1252
2013-03-11,73.31698608398438,102.3499984741211,102.3499984741211,102.3499984741211,102.3499984741211,5000
2013-03-12,73.31698608398438,102.3499984741211,102.3499984741211,102.3499984741211,102.3499984741211,0
2013-03-13,73.32415771484375,102.36000061035156,102.36000061035156,102.36000061035156,102.36000061035156,13
2013-03-14,73.32415771484375,102.36000061035156,102.36000061035156,102.36000061035156,102.36000061035156,0
2013-03-15,72.92304229736328,101.80000305175781,101.80000305175781,101.80000305175781,101.80000305175781,287
2013-03-18,73.7396469116211,102.94000244140625,102.94000244140625,102.94000244140625,102.94000244140625,10
2013-03-19,73.7396469116211,102.94000244140625,102.94000244140625,102.94000244140625,102.94000244140625,0
2013-03-20,73.7396469116211,102.94000244140625,102.94000244140625,102.94000244140625,102.94000244140625,0
2013-03-21,73.7396469116211,102.94000244140625,102.94000244140625,102.94000244140625,102.94000244140625,0
2013-03-22,73.53191375732422,102.6500015258789,102.69000244140625,102.6500015258789,102.69000244140625,1031
2013-03-25,73.30985260009766,102.33999633789062,102.37999725341797,102.33999633789062,102.3499984741211,5735
2013-03-26,73.30985260009766,102.33999633789062,102.33999633789062,102.33999633789062,102.33999633789062,0
2013-03-27,73.50328063964844,102.61000061035156,102.6500015258789,102.61000061035156,102.6500015258789,5241
2013-03-28,73.8757553100586,103.12999725341797,103.19999694824219,103.12999725341797,103.19999694824219,10583
2013-04-02,74.56927490234375,103.12999725341797,103.12999725341797,103.12999725341797,103.12999725341797,0
2013-04-03,73.89683532714844,102.19999694824219,102.19999694824219,102.19999694824219,102.19999694824219,11
2013-04-04,74.14266967773438,102.54000091552734,102.54000091552734,102.54000091552734,102.54000091552734,50
2013-04-05,74.2728271484375,102.72000122070312,102.72000122070312,102.72000122070312,102.72000122070312,1
2013-04-08,74.48251342773438,103.01000213623047,103.01000213623047,103.01000213623047,103.01000213623047,1
2013-04-09,74.47528839111328,103.0,103.0,103.0,103.0,482
2013-04-10,74.4246826171875,102.93000030517578,102.93000030517578,102.80000305175781,102.80000305175781,192
2013-04-11,74.14990997314453,102.55000305175781,102.55000305175781,102.55000305175781,102.55000305175781,25
2013-04-12,74.17881774902344,102.58999633789062,102.58999633789062,102.58999633789062,102.58999633789062,29
2013-04-15,74.24391174316406,102.68000030517578,102.68000030517578,102.68000030517578,102.68000030517578,20
2013-04-16,74.5475845336914,103.0999984741211,103.3499984741211,103.0199966430664,103.3499984741211,1279
2013-04-17,74.56204223632812,103.12000274658203,103.12000274658203,103.12000274658203,103.12000274658203,205
2013-04-18,74.54033660888672,103.08999633789062,103.4800033569336,103.08999633789062,103.4800033569336,1264
2013-04-19,74.56927490234375,103.12999725341797,103.41999816894531,103.12999725341797,103.41999816894531,29
2013-04-22,74.56927490234375,103.12999725341797,103.12999725341797,103.12999725341797,103.12999725341797,0
2013-04-23,74.69219207763672,103.30000305175781,103.30000305175781,103.25,103.25,70
2013-04-24,74.69219207763672,103.30000305175781,103.30000305175781,103.30000305175781,103.30000305175781,0
2013-04-26,74.69219207763672,103.30000305175781,103.30000305175781,103.30000305175781,103.30000305175781,0
2013-04-29,75.11880493164062,103.88999938964844,103.88999938964844,103.88999938964844,103.88999938964844,152
2013-04-30,75.20556640625,104.01000213623047,104.01000213623047,104.01000213623047,104.01000213623047,470
2013-05-01,74.98139953613281,103.69999694824219,103.83000183105469,103.69999694824219,103.83000183105469,117
2013-05-02,75.35742950439453,104.22000122070312,104.26000213623047,104.22000122070312,104.26000213623047,195
2013-05-03,75.35742950439453,104.22000122070312,104.22000122070312,104.22000122070312,104.22000122070312,0
2013-05-06,75.19834899902344,104.0,104.0,104.0,104.0,137
2013-05-07,75.19834899902344,104.0,104.0,104.0,104.0,0
2013-05-08,75.29235076904297,104.12999725341797,104.12999725341797,104.12999725341797,104.12999725341797,250
2013-05-09,75.29235076904297,104.12999725341797,104.12999725341797,104.12999725341797,104.12999725341797,0
2013-05-10,74.92355346679688,103.62000274658203,104.02999877929688,103.62000274658203,104.02999877929688,7
2013-05-13,74.8729476928711,103.55000305175781,103.55000305175781,103.55000305175781,103.55000305175781,1535
2013-05-14,74.8729476928711,103.55000305175781,103.55000305175781,103.55000305175781,103.55000305175781,0
2013-05-15,74.84403991699219,103.51000213623047,103.51000213623047,103.45999908447266,103.45999908447266,175
2013-05-16,74.94528198242188,103.6500015258789,103.69000244140625,103.6500015258789,103.69000244140625,402
2013-05-17,74.94528198242188,103.6500015258789,103.6500015258789,103.6500015258789,103.6500015258789,0
